Number of Hyperparam Combinations: 216
Number of Runs per Hyperparam Set: 5

Hyperparam Tuple                                             | Training Loss Avg       | Training Accuracy Avg   | Validation Loss Avg     | Validation Acc Avg
(128, 'relu', 0.1, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 6.606903839111328       | 0.9696969866752625      | 135.5092300415039       | 0.8311688303947449
(256, 'relu', 0.1, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 30.899370193481445      | 0.9333333492279052      | 147.25811462402345      | 0.8545454621315003
(128, 'relu', 0.2, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 22.570148944854736      | 0.939393961429596       | 151.4352249145508       | 0.8233766198158264
(256, 'relu', 0.2, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 19.05982608795166       | 0.9212121367454529      | 129.1210739135742       | 0.8545454621315003
(128, 'relu', 0.5, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 82.4420295715332        | 0.8121212244033813      | 152.3061080932617       | 0.8207792162895202
(256, 'relu', 0.5, 128, 'relu', 0.05, 128, 'relu', 0.05)     | 123.52972106933593      | 0.8303030371665955      | 115.28982086181641      | 0.8363636374473572
(128, 'relu', 0.1, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 30.658298301696778      | 0.939393949508667       | 180.77240600585938      | 0.8389610409736633
(256, 'relu', 0.1, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 8.233715581893922       | 0.9696969747543335      | 163.89109802246094      | 0.849350655078888 
(128, 'relu', 0.2, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 32.950251126289366      | 0.9272727370262146      | 171.4873291015625       | 0.8441558480262756
(256, 'relu', 0.2, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 37.4472152709961        | 0.9454545617103577      | 136.6387908935547       | 0.8545454621315003
(128, 'relu', 0.5, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 134.7499206542969       | 0.7818181991577149      | 113.13533020019531      | 0.8181818127632141
(256, 'relu', 0.5, 256, 'relu', 0.05, 128, 'relu', 0.05)     | 81.22984447479249       | 0.8484848618507386      | 121.51886749267578      | 0.8545454621315003
(128, 'relu', 0.1, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 31.323276233673095      | 0.9333333492279052      | 134.5629638671875       | 0.8389610409736633
(256, 'relu', 0.1, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 27.353957295417786      | 0.95757577419281        | 146.16681060791015      | 0.8467532515525817
(128, 'relu', 0.2, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 29.2191650390625        | 0.9151515245437623      | 139.4078399658203       | 0.8415584444999695
(256, 'relu', 0.2, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 20.474424743652342      | 0.9454545497894287      | 98.73264007568359       | 0.8623376727104187
(128, 'relu', 0.5, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 152.8773406982422       | 0.8060606241226196      | 165.3788101196289       | 0.7740259647369385
(256, 'relu', 0.5, 128, 'relu', 0.1, 128, 'relu', 0.05)      | 168.00643615722657      | 0.739393949508667       | 78.98486557006837       | 0.8129870057106018
(128, 'relu', 0.1, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 20.75803699493408       | 0.9515151619911194      | 175.92474060058595      | 0.8441558480262756
(256, 'relu', 0.1, 256, 'relu', 0.1, 128, 'relu', 0.05)      | 17.027664756774904      | 0.9696969866752625      | 152.78204345703125      | 0.8571428656578064
